"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=g084&geo=fvvvvvvvvvvvo&sec=g&freq=A&start=2001&end=2024&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Iowa : wind","thousand megawatthours","ELEC.GEN.WND-IA-99.A",488,919,982,1050,1647,2318,2757,4084,7421,9170,10709,14032,15568,16307,17873,20072,21373,21334,26305,34182,37098,45761,41439,44277
"Iowa : all solar","thousand megawatthours","ELEC.GEN.TSN-IA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",24,41,60,94,138,176,232,472,693,911,1142
"Kansas",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Kansas : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-KS-99.A",44749,47188,46568,46783,45863,45524,50122,46630,46677,47924,45360,44425,48473,49728,45527,47600,50933,51710,50888,54542,56631,62198,58457,57696
"Kansas : other renewables",,"ELEC.GEN.AOR-KS-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Kansas : wind","thousand megawatthours","ELEC.GEN.WND-KS-99.A",40,467,366,359,426,992,1153,1759,2863,3405,3720,5195,9433,10845,10999,14111,18598,18908,21124,23964,25694,29687,27273,29795
"Kansas : all solar","thousand megawatthours","ELEC.GEN.TSN-KS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",3,6,11,22,35,50,106,122,161,210,288
"Minnesota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MN-99.A",48523,52778,55051,52364,53019,53238,54478,54763,52492,53670,53120,52754,51297,56998,56980,59479,58749,61517,59379,56510,59196,58967,57277,58595
"Minnesota : other renewables",,"ELEC.GEN.AOR-MN-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota : wind","thousand megawatthours","ELEC.GEN.WND-MN-99.A",897,906,978,812,1582,2055,2639,4355,5053,4792,6726,8176,8259,9691,9779,9933,11137,10714,10965,11831,12271,15091,14398,14781
"Minnesota : all solar","thousand megawatthours","ELEC.GEN.TSN-MN-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",21,28,47,655,1123,1353,1773,2077,2144,2417,2689
"Missouri",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Missouri : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MO-99.A",79545,81162,87225,87633,90828,91686,91153,91029,88354,92313,94876,91804,91627,87834,83640,78612,84607,85095,78279,72568,76941,79361,66703,66876
"Missouri : other renewables",,"ELEC.GEN.AOR-MO-99.A",,,,,,,,,,,,,,,,,,,,,,,,
"Missouri : wind","thousand megawatthours","ELEC.GEN.WND-MO-99.A","--","--","--","--","--","--","--",203,499,925,1178,1245,1167,1131,1033,1122,2032,2835,2858,3345,6534,7525,6775,6790
"Missouri : all solar","thousand megawatthours","ELEC.GEN.TSN-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",122,162,200,261,324,393,461,549,681,867,950
"Nebraska",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,,,,,,
"Nebraska : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NE-99.A",30485,31618,30456,32009,31465,31670,32443,32374,34002,36630,36095,34217,37105,39431,39883,36525,35407,36966,37298,36849,37911,40693,39446,37229
"Nebraska : other renewables",,"ELEC.GEN.AOR-NE-99.A",,,,,,,,,,,,,,,,,,,,,,,,
